SUBJECT CLASSMARK,REFERENCE
ACCOUNTACY,HF
AMERICAN HISTORY,E
AMERICAN HISTORY,F
AMERICAN LITERATURE,PS
ARCHAEOLOGY,CC
ART,N
ASTROPHYSICS,QB
BIOCHEMISTRY,QP
BIOCHEMISTRY,RB
BIOLOGY,QH
BIOMEDICAL SCIENCE,QR
BIOMEDICAL SCIENCE,RB
BOTANY,QK
BOTANY,S
BRITISH HISTORY,DA
BUSINESS,HD
BUSINESS,HE
BUSINESS,HF
CHEMISTRY,QD
CHINESE,PL
COMPUTING,QA
COMPUTING,TK
COUNSELLING AND PSYCHOTHERAPY,RC
CRIMINOLOGY,HV
ECOLOGY,QH
ECONOMICS,HA
ECONOMICS,HB
ECONOMICS,HC
ECONOMICS,HD
ECONOMICS,HE
ECONOMICS,HF
ECONOMICS,HI
ECONOMICS,HJ
EDUCATION,L
ENGLISH LANGUAGE,PE
ENGLISH LITERATURE,PR
ENVIRONMENTAL STUDIES,GE
ENVIRONMENTAL STUDIES,GF
FILM STUDIES,PN
FINANCE,HG
FINANCE,HH
FINANCE,HI
FINANCE,HJ
FORENSIC SCIENCE,HV
FRENCH,PC
GEOGRAPHY,G
GEOGRAPHY,GA
GEOGRAPHY,GB
GEOGRAPHY,GC
GEOGRAPHY,GD
GEOGRAPHY,GF
GEOLOGY AND GEOSCIENCE,QE
GERMAN,PF
HISTORY,D
HUMAN BIOLOGY,QM
HUMAN BIOLOGY,QN
HUMAN BIOLOGY,QO
HUMAN BIOLOGY,QP
HUMAN BIOLOGY,QQ
HUMAN BIOLOGY,QR
HUMAN RESOURCE MANAGEMENT,HD
HUMAN RESOURCE MANAGEMENT,HE
HUMAN RESOURCE MANAGEMENT,HF
INTERNATIONAL LAW,JX
INTERNATIONAL RELATIONS,JZ
ITALIAN,PC
JAPANESE,PL
LAW,K
MANAGEMENT AND MARKETING,HD
MANAGEMENT AND MARKETING,HE
MANAGEMENT AND MARKETING,HF
MATHEMATICS,QA
MEDIA STUDIES,P
MEDICINAL CHEMISTRY,QP
MEDICINE,R
MENTAL HEALTH,RA
MENTAL HEALTH,RB
MENTAL HEALTH,RC
MUSIC TECHNOLOGY,ML
NEUROSCIENCE,RC
NURSING,RI
PHARMACOLOGY,RM
PHARMACY,RS
PHILOSOPHY,B
PHILOSOPHY,BA
PHILOSOPHY,BB
PHILOSOPHY,BC
PHILOSOPHY,BD
PHILOSOPHY,BE
PHILOSOPHY,BF
PHILOSOPHY,BG
PHILOSOPHY,BH
PHILOSOPHY,BI
PHILOSOPHY,BJ
PHYSICS,QC
PHYSIOLOGY,QP
PHYSIOTHERAPY,RM
POLITICS,J
POLITICS,JA
POLITICS,JB
POLITICS,JC
POLITICS,JD
POLITICS,JE
POLITICS,JF
POLITICS,JG
POLITICS,JH
POLITICS,JI
POLITICS,JJ
POLITICS,JK
POLITICS,JL
POLITICS,JM
POLITICS,JN
POLITICS,JO
POLITICS,JP
POLITICS,JQ
POLITICS,JR
POLITICS,JS
POLITICS,JT
POLITICS,JU
POLITICS,JV
POLITICS,JW
POLITICS,JX
PSYCHOLOGY,BF
RADIOGRAPHY,RC
RELIGION,BL
RELIGION,BM
RELIGION,BN
RELIGION,BO
RELIGION,BP
RELIGION,BQ
RELIGION,BR
RELIGION,BS
RELIGION,BT
RELIGION,BU
RELIGION,BV
RELIGION,BW
RELIGION,BX
RUSSIAN,PG
SOCIAL WORK,HV
SOCIOLOGY,HM
SOCIOLOGY,HN
SOCIOLOGY,HO
SOCIOLOGY,HP
SOCIOLOGY,HQ
SOCIOLOGY,HR
SOCIOLOGY,HS
SOCIOLOGY,HT
SPANISH,PC
VETERINARY MEDICINE,SF
