REFERENCE,LOCATION
B,MIDDLE FLOOR
BA,MIDDLE FLOOR
BB,MIDDLE FLOOR
BC,MIDDLE FLOOR
BD,MIDDLE FLOOR
BE,MIDDLE FLOOR
BF,MIDDLE FLOOR
BG,MIDDLE FLOOR
BH,MIDDLE FLOOR
BI,MIDDLE FLOOR
BJ,MIDDLE FLOOR
BL,MIDDLE FLOOR
BM,MIDDLE FLOOR
BN,MIDDLE FLOOR
BO,MIDDLE FLOOR
BP,MIDDLE FLOOR
BQ,MIDDLE FLOOR
BR,MIDDLE FLOOR
BS,MIDDLE FLOOR
BT,MIDDLE FLOOR
BU,MIDDLE FLOOR
BV,MIDDLE FLOOR
BW,MIDDLE FLOOR
BX,MIDDLE FLOOR
CC,MIDDLE FLOOR
D,MIDDLE FLOOR
DA,MIDDLE FLOOR
E,TOP FLOOR BACK LEFT
F,TOP FLOOR BACK LEFT
G,TOP FLOOR BACK LEFT
GA,TOP FLOOR BACK LEFT
GB,TOP FLOOR BACK LEFT
GC,TOP FLOOR BACK LEFT
GD,TOP FLOOR BACK LEFT
GE,TOP FLOOR BACK LEFT
GF,TOP FLOOR BACK LEFT
HA,TOP FLOOR BACK LEFT
HB,TOP FLOOR BACK LEFT
HC,TOP FLOOR BACK LEFT
HD,TOP FLOOR BACK LEFT
HE,TOP FLOOR BACK LEFT
HF,TOP FLOOR BACK LEFT
HG,TOP FLOOR BACK LEFT
HH,TOP FLOOR BACK LEFT
HI,TOP FLOOR BACK LEFT
HJ,TOP FLOOR BACK LEFT
HM,TOP FLOOR FRONT LEFT
HN,TOP FLOOR FRONT LEFT
HO,TOP FLOOR FRONT LEFT
HP,TOP FLOOR FRONT LEFT
HQ,TOP FLOOR FRONT LEFT
HR,TOP FLOOR FRONT LEFT
HS,TOP FLOOR FRONT LEFT
HT,TOP FLOOR FRONT LEFT
HV,TOP FLOOR FRONT LEFT
J,TOP FLOOR FRONT LEFT
JA,TOP FLOOR FRONT LEFT
JB,TOP FLOOR FRONT LEFT
JC,TOP FLOOR FRONT LEFT
JD,TOP FLOOR FRONT LEFT
JE,TOP FLOOR FRONT LEFT
JF,TOP FLOOR FRONT LEFT
JG,TOP FLOOR FRONT LEFT
JH,TOP FLOOR FRONT LEFT
JI,TOP FLOOR FRONT LEFT
JJ,TOP FLOOR FRONT LEFT
JK,TOP FLOOR FRONT LEFT
JL,TOP FLOOR FRONT LEFT
JM,TOP FLOOR FRONT LEFT
JN,TOP FLOOR FRONT LEFT
JO,TOP FLOOR FRONT LEFT
JP,TOP FLOOR FRONT LEFT
JQ,TOP FLOOR FRONT LEFT
JR,TOP FLOOR FRONT LEFT
JS,TOP FLOOR FRONT LEFT
JT,TOP FLOOR FRONT LEFT
JU,TOP FLOOR FRONT LEFT
JV,TOP FLOOR FRONT LEFT
JW,TOP FLOOR FRONT LEFT
JX,GROUND FLOOR
JZ,GROUND FLOOR
K,GROUND FLOOR
L,TOP FLOOR FRONT LEFT
M,TOP FLOOR FRONT LEFT
ML,TOP FLOOR FRONT LEFT
N,TOP FLOOR FRONT LEFT
P,TOP FLOOR FRONT RIGHT
PC,TOP FLOOR FRONT RIGHT
PE,TOP FLOOR FRONT RIGHT
PF,TOP FLOOR FRONT RIGHT
PG,TOP FLOOR FRONT RIGHT
PL,TOP FLOOR FRONT RIGHT
PN,TOP FLOOR FRONT RIGHT
PR,TOP FLOOR FRONT RIGHT
PS,TOP FLOOR FRONT RIGHT
QA,TOP FLOOR BACK RIGHT
QB,TOP FLOOR BACK RIGHT
QC,TOP FLOOR BACK RIGHT
QD,TOP FLOOR BACK RIGHT
QE,TOP FLOOR BACK RIGHT
QH,TOP FLOOR BACK RIGHT
QK,TOP FLOOR BACK RIGHT
QM,TOP FLOOR BACK RIGHT
QN,TOP FLOOR BACK RIGHT
QO,TOP FLOOR BACK RIGHT
QP,TOP FLOOR BACK RIGHT
QQ,TOP FLOOR BACK RIGHT
QR,TOP FLOOR BACK RIGHT
R,TOP FLOOR BACK RIGHT
RA,TOP FLOOR BACK RIGHT
RB,TOP FLOOR BACK RIGHT
RC,TOP FLOOR BACK RIGHT
RI,TOP FLOOR BACK RIGHT
RM,TOP FLOOR BACK RIGHT
RS,TOP FLOOR BACK RIGHT
S,TOP FLOOR BACK RIGHT
SF,TOP FLOOR BACK RIGHT
T,TOP FLOOR FRONT LEFT
T,TOP FLOOR FRONT LEFT
TK,TOP FLOOR BACK RIGHT
